name,city,url,website_status,host,publisher,editor,address,telephone
PRINCETON POST-TELEGRAPH,Princeton,https://northmissouriannews.com/post-telegraph,404,northmissouriannews.com,Preston Cole,Preston Cole,"704 Main St., PO Box 286, Princeton 64673",(660) 748-3266
RICH HILL MINING REVIEW,Rich Hill,www.richhillminingreview.com,404,www.richhillminingreview.com,Trevor Vernon,Brandy Bourland,"PO Box 580, Osceola 64779",(417) 646-2211
CHARITON MARQUEE,Salem,www.charitonmarquee.com,,www.charitonmarquee.com,Melanie Latamondeer,,"110 E. Second St., Salisbury 65281",(660) 388-6131
SARCOXIE RECORD,Sarcoxie,,,,Paul E. Donley,Paul E. Donley,"101 N. Sixth St., PO Box 400, Sarcoxie 64862",(417) 548-3311
SLATER MAIN STREET NEWS,Slater,www.slatermainstreetnews.com,Replica,www.slatermainstreetnews.com,Jean E. Black,Jean E. Black,"222 Main St., Slater 65349",(660) 529-2249
SPRINGFIELD BUSINESS JOURNAL,Springfield,www.sbj.net,,www.sbj.net,Marty Goodnight,Christine Temple,"2101 W. Chesterfield Blvd., Ste. B105, PO Box 1365,, Springfield 65807",(417) 831-3238
SPRINGFIELD DAILY EVENTS,Springfield,www.thedailyevents.com,,www.thedailyevents.com,Jeff Schrag,Susie Barnes,"310 W. Walnut St., PO Box 1, Springfield 65806",(417) 866-1401
ST. CHARLES COUNTY JOURNAL,St. Charles,,,,Shannon Grindinger,,"300 S. Second St., St. Charles 63301",(816) 221-2552
ST. LOUIS CITY MONITOR,St. Louis,,,,John Wingo,Trevor Henderson,"200 N. 13th St., St. Louis 63103",(816) 221-2552
ST. LOUIS COUNTY LEDGER,St. Louis,,,,John Wingo,Lacey Whittaker,"7730 Carondelet, Ste. 101, St. Louis 63105",(314) 862-1875
SUMMERSVILLE BEACON,Summersville,www.sbeacon.com,Replica,www.sbeacon.com,Sharon Vaughn,Sharon Vaughn,"205 Richards Ave., PO Box 272, Summersville 65571",(417) 932-4700
SWEET SPRINGS HERALD,Sweet Springs,,,,Kathryn Dohrman,Kathryn Dohrman,"238 W. Main St., Sweet Springs 65351",(660) 335-6366
TIPTON TIMES,Tipton,www.tiptontimes.com,,www.tiptontimes.com,Trevor Vernon,Becky Holloway,"113 E. Morgan St., PO Box U, Tipton 65081",(660) 433-5721
TRENTON REPUBLICAN-TIMES,Trenton,www.republican-times.com,Closed,www.republican-times.com,Jamey & D’Anna Honeycutt,Jamey Honeycutt,"122 E. Eighth St., PO Box 548, Trenton 64683",(660) 359-2212
LINCOLN COUNTY JOURNAL,Troy,www.lincolnnewsnow.com,Redirected,www.lincolnnewsnow.com,Jeremy Gulban,Gregory Orear,"280 Magee St., Troy 63379",(636) 528-9550
UNIONVILLE REPUBLICAN,Unionville,,,,Ron Kinzler,Karen Bradshaw,"northmissourinews.com, 111 S. 16th St., PO Box 365, Unionville 63565",(660) 947-2222
CURRENT LOCAL,Van Buren,,,,Mike Grassham,Mike Grassham,"504 Ash St., PO Box 100, Van Buren 63965",(573) 323-4515
MORGAN COUNTY STATESMAN,Versailles,www.morgancountystatesman.com,Replica,www.morgancountystatesman.com,Bryan E. Jones,Bryan E. Jones,"104 W. Jasper, PO Box 348, Versailles 65084, Wed. (Rep",(573) 378-5441
WELLSVILLE OPTIC-NEWS,Wellsville,,,,Tracy L. Park,Natalie A. Ison,"123 W. Hudson St., PO Box 73, Wellsville 63384",(573) 684-2929
