outlet,city,county,host,type,owner,in_sources,source_status,articles,in_blue_book,web_access
Eldon Advertiser,Eldon,,,print native,Trevor Vernon,no,,0,yes,unknown
Reynolds County Courier,Ellington,Reynolds,reynoldscountycourier.com,print native,Paxton Media Group LLC,yes,active,51,yes,collected
Reynolds County Courier/WayNe County Journal Banner,Ellington,Reynolds,www.waynecojournalbanner.com,print native,Ellinghouse Publishing Co. Inc.,yes,active,201,yes,collected
Elsberry Democrat,Elsberry,Lincoln,www.elsberrydemocrat.com,print native,CherryRoad Media,yes,active,239,yes,collected
Shannon County Current Wave,Eminence,Shannon,currentwave.news,print native,Valerie and Roger Dillon,yes,active,14,yes,collected
Excelsior Citizen,Excelsior Springs,Clay,www.excelsiorcitizen.com,print native,"Sticky Wicket Media, LLC",yes,active,35,no,collected
Excelsior Springs Standard,Excelsior Springs,Clay,www.excelsiorspringsstandard.com,print native,Excelsior Publishing co.,yes,active,358,yes,collected
My Mo info,Farmington,St. Francois,www.mymoinfo.com,audio broadcast,GoodRadio.TV,yes,active,694,no,collected
Fayette Advertiser,Fayette,Howard,www.fayettenewspapers.com,print native,Wood Creek Media,yes,active,580,yes,collected
Democrat-News,Fredericktown,Madison,democratnewsonline.com,print native,CherryRoad Media,yes,active,25,yes,collected
The Fulton Sun,Fulton,Callaway,www.fultonsun.com,print native,"Faughn Media, LLC",yes,active,1878,yes,collected
Ozark County Times,Gainesville,Ozark,www.ozarkcountytimes.com,print native,Lebanon Publishing Co,yes,active,329,yes,collected
Gladstone Dispatch,Gladstone,Clay,www.gladstonedispatch.com,print native,CherryRoad Media,yes,active,89,no,collected
Glasgow Missourian,Glasgow,,www.mainstreetnewsgroup.com,print native,Frank Mercer,no,,0,yes,website gone
Greenfield Vedette,Greenfield,Dade,greenfieldvedette.com,print native,Marlene DeClue and Krista Guy,yes,active,224,yes,collected
Hale Horizons,Hale,,,print native,Cindy Corf,no,,0,yes,unknown
The Caldwell County News,Hamilton,Caldwell,www.mycaldwellcounty.com,print native,L & L publications Inc.,yes,retired,0,yes,never collected
Hannibal Courier-Post,Hannibal,Marion,www.hannibal.net,print native,Phillips Media Group,yes,active,662,yes,collected
KHQA 7,Hannibal,Marion,www.khqa.com,video broadcast,Rincon Broadcasting Quincy LLC,yes,active,122,no,collected
Tribune and Times,Harrisonville,Cass,www.tribuneandtimes.com,print native,Dennis Minich,yes,active,0,yes,never collected
The Hermann Advertiser Courier,Hermann,Gasconade,www.hermannadvertisercourier.com,print native,CherryRoad Media,yes,active,265,yes,collected
Hermitage Index,Hermitage,Hickory,www.hermitageindex.com,print native,Trevor Vernon,yes,active,0,yes,never collected
Higginsville Advance,Higginsville,Lafayette,lafayettemonews.com,print native,Lexington Area Chamber of Commerce,yes,active,45,yes,collected
"Countian Jefferson, The",Hillsboro,,,print native,Johnny Aguirre,no,,0,yes,unknown
Jefferson County Reporter,Hillsboro,,,print native,Shannon Grindinger,no,,0,yes,not local news
Holden Image,Holden,Johnson,hipaperclips.com,print native,John Roberts,yes,active,17,yes,collected
Branson Tri-Lakes News,Hollister,Taney,www.bransontrilakesnews.com,print native,Lancaster Management Inc.,yes,active,983,yes,collected
Houston Herald,Houston,Texas,houstonherald.com,print native,Houston Newspapers Inc,yes,active,1121,yes,collected
The Examiner / Examiner Weekend,Independence,Jackson,www.examiner.net,print native,CherryRoad Media,yes,active,1472,yes,collected
Mountain Echo,Ironton,Iron,myironcountynews.com,print native,Paxton Media Group LLC,yes,active,54,yes,collected
KCMO,Jackson,Jackson,www.949kcmo.com,audio broadcast,Cumulus Media,yes,retired,217,no,collected
The Cash-Book Journal,Jackson,Cape Girardeau,thecash-book.com,print native,Gina Raffety,yes,active,66,yes,collected
Tri-County Weekly,Jamesport,Daviess,jamesporttricountyweekly.com,print native,Nathan McAllister,yes,active,439,yes,collected
Jefferson City News Tribune/News Tribune,Jefferson City,Cole,www.newstribune.com,print native,"Faughn Media, LLC",yes,active,5058,yes,collected
Missouri Net,Jefferson City,Cole,www.missourinet.com,digital native,"Learfield Communications, LLC.",yes,active,432,no,collected
Missouri Scout,Jefferson City,Cole,moscout.com,digital native,Dave Drebes,yes,active,291,no,collected
The Missouri Independent,Jefferson City,Cole,missouriindependent.com,digital native,States Newsroom,yes,active,873,yes,collected
The Missouri Times,Jefferson City,Cole,themissouritimes.com,print native,"Faughn Media, LLC",yes,active,192,no,collected
The Pathway,Jefferson City,Cole,mbcpathway.com,print native,Missouri Baptist Convention,yes,retired,92,no,collected
KOAM,Joplin,Jasper,www.koamnewsnow.com,video broadcast,Morgan Murphy Media,yes,active,2760,no,collected
KSN/KODE TV,Joplin,Jasper,www.fourstateshomepage.com,video broadcast,Mission Broadcasting Inc,yes,active,1301,no,collected
KZRG,Joplin,Jasper,www.newstalkkzrg.com,audio broadcast,Zimmer Radio,yes,active,748,no,collected
The Chart,Joplin,Jasper,thechartonline.com,print native,Missouri Southern State University,yes,active,53,no,collected
The Joplin Globe,Joplin,Jasper,www.joplinglobe.com,print native,CNHI,yes,active,2186,yes,collected
Kahoka Hometown Journal,Kahoka,Clark,www.htjournal.net,print native,Joe & Lisa Roberts,yes,active,0,yes,never collected
The Media,Kahoka,Clark,www.kahokamedia.com,print native,Sentinel Printing Company,yes,active,216,yes,collected
Carter Broadcast Group (KPRS/KPRT),Kansas City,Jackson,www.kprs.com,audio broadcast,Carter Broadcast Group,yes,retired,306,no,collected
Dos Mundos Bilingual Newspaper,Kansas City,Wyandotte,dosmundos.com,print native,Clara Reyes,yes,active,395,no,collected
FOX4KC WDAF TV,Kansas City,Jackson,fox4kc.com,video broadcast,Nexstar Media Group,yes,active,1130,no,collected
Kansas City Call,Kansas City,Jackson,kccallnews.net,print native,Mahlon Joseph,yes,active,14,yes,collected
KC Beacon,Kansas City,Jackson,thebeaconnews.org,digital native,Beacon Media Inc.,yes,active,226,yes,collected
KC Defender,Kansas City,Jackson,kansascitydefender.com,digital native,Ryan Sorrell,yes,active,107,no,collected
KC Magazine,Kansas City,Jackson,kansascitymag.com,print native,Dave Claflin,yes,active,315,no,collected
KCTV5,Kansas City,Jackson,www.kctv5.com,video broadcast,Meredith Corportation,yes,active,2678,no,collected
KCUR,Kansas City,Jackson,www.kcur.org,audio broadcast,University of Missouri-Kansas City,yes,active,908,no,collected
KMBC News 9,Kansas City,Jackson,www.kmbc.com,video broadcast,Hearst Television,yes,active,4312,no,collected
KSHB 41,Kansas City,Jackson,www.kshb.com,video broadcast,Scripps,yes,active,480,no,collected
Lee's Summit Missouri Journal News,Kansas City,Jackson,kansascity.com,print native,The McClatchy Company,yes,retired,0,yes,never collected
North East News,Kansas City,Jackson,northeastnews.net,print native,"Collins, Leslie",yes,active,330,yes,collected
The Kansas City Globe,Kansas City,Jackson,www.thekansascityglobe.com,print native,Jordon Communications,yes,active,225,yes,collected
The Kansas City Star,Kansas City,Jackson,www.kansascity.com,print native,The McClatchy Company,yes,active,3302,yes,collected
The Pitch/Kansas City Pitch,Kansas City,Jackson,www.thepitchkc.com,print native,Carey Media,yes,active,712,no,collected
UMKC Roo News,Kansas City,Jackson,kcroonews.com,print native,University of Missouri-Kansas City,yes,active,175,no,collected
What's Up Kansas City,Kansas City,Jackson,whatsupkansascity.net,digital native,"Carlos M. Nelson, Sr.",yes,retired,0,no,never collected
Delta Dunklin Democrat,Kennett,Dunklin,www.dddnews.com,print native,Rust Communications,yes,active,1205,yes,collected
Tri-County Ledger,King City,,,print native,Matthew Pearl,no,,0,yes,unknown
Kirksville Daily Express,Kirksville,Adair,www.kirksvilledailyexpress.com,print native,Carpenter Media Group,yes,active,984,yes,collected
KTVO CBS,Kirksville,Adair,www.ktvo.com,video broadcast,Rincon Broadcasting Ottumwa LLC,yes,active,100,no,collected
Lamar Democrat,Lamar,Barton,lamardemocrat.com,print native,Reaves & Williams Publishing Group,yes,active,384,yes,collected
Schuyler County Times,Lancaster,Schuyler,schuylercountytimes.com,print native,"NEMOnews Media Group, LLC.",yes,active,13,yes,collected
Lawson Review,Lawson,,www.facebook.com,print native,Anita Duncan,no,,0,yes,no web edition
The Lebanon/LaClede Daily Record,Lebanon,Laclede,www.laclederecord.com,print native,Lebanon Publishing Co,yes,active,449,yes,collected
Lee's Summit Tribune,Lee's Summit,Jackson,lstribune.net,print native,Linda Ahern,yes,active,141,yes,collected
Metro Voice Christian Newspaper,Lee's Summit,Jackson,metrovoicenews.com,print native,Dwight and Anita Widaman,yes,active,488,no,collected
Lexington News,Lexington,,www.mainstreetnewsgroup.com,print native,Frank Mercer,no,,0,yes,website gone
Courier Tribune,Liberty,Clay,www.mycouriertribune.com,print native,CherryRoad Media,yes,active,838,no,collected
Courier Tribune/Gladstone Dispatch,Liberty,,,print native,Jeremy Gulban,no,,0,yes,unknown
The Licking News,Licking,Texas,www.thelickingnews.com,print native,Salem Publishing,yes,retired,8,yes,collected
The Unterrified Democrat,Linn,Osage,www.unterrifieddemocrat.com,print native,"Voss, Jerrilynn",yes,active,809,yes,collected
The Macon County Home Press,Macon,Macon,maconhomepress.com,print native,Jeffcoat Becky,yes,active,149,yes,collected
The Banner Press,Marble Hill,Bollinger,www.thebannerpress.com,print native,Rust Communications,yes,active,52,yes,collected
Linn County Leader,Marceline,Linn,www.linncountyleader.com,print native,CherryRoad Media,yes,active,297,yes,collected
The Marshall Democrat-News,Marshall,Saline,www.marshallnews.com,print native,CherryRoad Media,yes,active,476,yes,collected
Marshfield Mail,Marshfield,Webster,marshfieldmail.com,print native,Carpenter Media Group,yes,active,243,yes,collected
KXCV,Maryville,Nodaway,www.kxcv.org,audio broadcast,Nothwest Missouri State University,yes,active,2062,no,collected
"Nodaway News Leader, Maryville",Maryville,,www.nodawaynews.com,print native,Kay Wilson,no,,0,yes,website gone
North West Missourian,Maryville,Nodaway,www.nwmissourinews.com,print native,Northwest Missouri State University,yes,active,480,no,collected
The Maryville Daily Forum,Maryville,Nodaway,www.maryvilleforum.com,print native,"Garner Media Holdings, LLE",yes,active,2630,yes,collected
Dekalb Co. Record-Herald,Maysville,,,print native,Terry Pearl,no,,0,yes,unknown
Memphis Democrat,Memphis,Scotland,www.memphisdemocrat.com,print native,Feeney Chris,yes,active,213,yes,collected
The Mexico Ledger,Mexico,Audrain,mexicoledger.com,print native,Westplex Media Group,yes,active,1051,yes,collected
The Milan Standard,Milan,Sullivan,www.themilanstandard.com,print native,Wilson Robert,yes,active,165,yes,collected
KMBZ,Mission,Johnson,audacy.com,audio_broadcast,Audacy Inc,yes,paused,1,no,collected
Moberly Monitor,Moberly,Randolph,www.moberlymonitor.com,print native,CherryRoad Media,yes,active,333,yes,collected
The Monett Times,Monett,Lawrence,www.monett-times.com,print native,Rust Communications,yes,retired,0,no,never collected
Lake Gazette,Monroe City,Marion,www.lakegazette.net,print native,CherryRoad Media,yes,active,186,yes,collected
Montgomery Standard,Montgomery City,Montgomery,www.mystandardnews.com,print native,Tim Schmidt,yes,active,703,yes,collected
Mound City News,Mound City,,www.moundcitynews.com,print native,Adam Johnson,no,,0,yes,print or replica only
Lawrence County Record,Mount Vernon,Lawrence,www.lawrencecountyrecord.com,print native,Squibb Media,yes,active,212,yes,collected
Wright County Journal,Mountain Grove,Wright,wrightcountyjournal.com,print native,"Wright County Media, LLC",yes,active,40,yes,collected
Neosho Daily News,Neosho,Newton,neoshodailynews.com,print native,Sexton Media Group Inc.,yes,paused,26,yes,collected
"Newton County News, Neosho",Neosho,,,print native,Chad Hayworth,no,,0,yes,unknown
Seneca News Dispatch,Neosho,Newton,thenewsdispatch.net,print native,Sexton Media Group Inc.,yes,retired,0,no,never collected
The Nevada Daily Mail,Nevada,Vernon,www.nevadadailymail.com,print native,Rust Communications,yes,active,655,yes,collected
KRCG,New Bloomfield,Callaway,krcgtv.com,video_broadcast,"Sinclair Broadcast Group, Inc.",yes,active,2361,no,collected
Focus On Oak Grove,Oak Grove,,www.theodessan.net,print native,John & Joe Spaar,no,,0,yes,print or replica only
Odessa Odessan,Odessa,,www.theodessan.net,print native,John & Joe Spaar,no,,0,yes,print or replica only
Kansas City Daily Record,Online newspaper,,www.mlmcounties.com,print native,Johnny Aguirre,no,,0,yes,not local news
Kansas City The Pulse Legal Publication,Online newspaper,,www.pulselegal.com,print native,Pamela Wingo,no,,0,yes,not local news
Lake Expo,Osage Beach,,www.lakeexpo.com,print native,Brent Simpson,no,,0,yes,not local news
Lake Sun Leader/Lake News Online,Osage Beach,Camden,www.lakenewsonline.com,print native,Vernon Publishing,yes,active,633,yes,collected
Appleton City Journal,Osceola,St. Clair,www.stclaircourier.com,print native,Trevor Vernon,yes,active,0,yes,never collected
Gasconade County Republican,Owensville,Gasconade,www.gasconadecountyrepublican.com,print native,Warden Publishing Group,yes,active,775,yes,collected
Maries County Advocate,Owensville,Maries,mariescountyadvocate.com,print native,Warden Publishing Group,yes,active,823,yes,collected
Christian County Headliner,Ozark,Christian,ccheadliner.com,print native,Carpenter Media Group,yes,active,754,yes,collected
Palmyra Spectator,Palmyra,Marion,www.palmyra-spectator.com,print native,Cheffey Mark & Patty,yes,active,273,yes,collected
Ralls County Herald-Enterprise,Paris,Monroe,www.monroe-ralls.com,print native,Robin Gregg,yes,active,0,yes,never collected
"Daily Journal, Park Hills",Park Hills,St. Francois,dailyjournalonline.com,print native,Lee Enterprises,yes,active,886,yes,collected
Midamerica Farmer Grower,Perryville,,www.mafg.net,print native,John M. LaRose,no,,0,yes,not local news
McDonald County Press,Pineville,McDonald,mdcp.nwaonline.com,print native,Wehco Media,yes,active,665,no,collected
The Landmark,Platte City,Platte,plattecountylandmark.com,print native,Foley Newspapers,yes,active,1149,yes,collected
The Platte County Citizen,Platte City,Platte,www.plattecountycitizen.com,print native,Stubs Lee,yes,active,302,yes,collected
"Clinton County Leader, Plattsburg",Plattsburg,Clinton,www.clintoncountyleader.com,print native,Jamey & D’Anna Honeycutt,yes,active,0,yes,never collected
Daily American Republic,Poplar Bluff,Butler,www.darnews.com,print native,Rust Communications,yes,active,2545,yes,collected
Independent-Journal,Potosi,washington,www.theijnews.com,print native,Richards Neil,yes,active,267,yes,collected
Princeton Post-Telegraph,Princeton,,northmissouriannews.com,print native,Preston Cole,no,,0,yes,website gone
Perryville Republic Monitor,Republic,Greene,republicmonitor.com,print native,Community Publishers Inc,yes,active,1297,yes,collected
Rich Hill Mining Review,Rich Hill,,www.richhillminingreview.com,print native,Trevor Vernon,no,,0,yes,website gone
Richmond Daily News,Richmond,Ray,www.richmond-dailynews.com,print native,Excelsior Publishing co.,yes,active,389,yes,collected
Atchinson County Mail,Rock Port,Atchison,farmerpublishing.com,print native,Farmer W C & Mike,yes,active,808,yes,collected
Phelps County Focus,Rolla,Phelps,www.phelpscountyfocus.com,print native,Salem Publishing,yes,active,909,yes,collected
Pulaski County Weekly,Rolla,Pulaski,pulaskicountyweekly.com,print native,Carpenter Media Group,yes,active,314,no,collected
Salem News Online,Salem,Dent,thesalemnewsonline.com,print native,Carpenter Media Group,yes,active,424,yes,collected
Chariton Marquee,Salisbury,Chariton,www.charitonmarquee.com,print native,Melanie Latamondeer,yes,active,0,yes,never collected
The Savannah Reporter,Savannah,Andrew,www.savrep.com,print native,CherryRoad Media,yes,active,235,yes,collected
The Sedalia Democrat,Sedalia,Pettis,www.sedaliademocrat.com,print native,Phillips Media Group,yes,active,1650,yes,collected
Webster County Citizen,Seymour,Webster,www.webstercountycitizen.com,print native,Lebanon Publishing Co,yes,active,925,yes,collected
Shelby County Herald,Shelbyville,Shelby,www.shelbycountyherald.com,print native,Williams Communications Group Inc.,yes,active,240,yes,collected
Sheridan Express,Sheridan,Harrison,sheridanexpress.blogspot.com,print native,Sheridan Express Newspaper Cooperative,yes,active,539,yes,collected
Sikeston Standard Democrat,Sikeston,Scott,standard-democrat.com,print native,Rust Communications,yes,active,2493,yes,collected
Slater Main Street News,Slater,,www.slatermainstreetnews.com,print native,Jean E. Black,no,,0,yes,print or replica only
417 Magazine,Springfield,Greene,www.417mag.com,print native,Whitaker Publishing,yes,active,65,no,collected
Drury Mirror,Springfield,Greene,drurymirror.org,print native,Drury University,yes,active,94,no,collected
KOLR,Springfield,Greene,www.ozarksfirst.com,video broadcast,Mission Broadcasting Inc,yes,active,1186,no,collected
KOSP/The Beat,Springfield,Greene,www.929thebeat.com,audio broadcast,Mid-West Family Broadcasting,yes,retired,19,no,collected
KSMU Ozarks Public Radio,Springfield,Greene,www.ksmu.org,audio broadcast,Missouri State University,yes,active,4646,no,collected
KSPR/KY3,Springfield,Greene,ky3.com,video broadcast,Gray Media,yes,retired,0,no,never collected
KSPR/KY3,Springfield,Greene,www.ky3.com,video broadcast,Gray Television,yes,active,3756,no,collected
KTTS,Springfield,Greene,www.ktts.com,audio broadcast,Summit Media,yes,active,675,no,collected
Springfield Business Journal,Springfield,Greene,www.sbj.net,print native,Marty Goodnight,yes,active,0,yes,never collected
Springfield Daily Citizen,Springfield,Greene,sgfcitizen.org,print native,"Springfield Daily Citizen, Inc.",yes,active,45,no,collected
Springfield Daily Events,Springfield,,www.thedailyevents.com,print native,Jeff Schrag,no,,0,yes,not local news
Springfield Neighborhood News,Springfield,Greene,sgfneighborhoodnews.com,print native,Sexton Media Group Inc.,yes,active,57,no,collected
Springfield News-Leader,Springfield,Greene,www.news-leader.com,print native,"Gannett Co., Inc.",yes,active,1196,yes,collected
The Standard,Springfield,Greene,the-standard.org,print native,Missouri State University,yes,active,43,no,collected
The Standard,Springfield,Greene,www.the-standard.org,print native,Missouri State University,yes,active,229,no,collected
Community News,St Charles,St. Charles,www.mycnews.com,newspaper,CherryRoad Media,yes,active,29,yes,collected
ABC 30,St Louis,St. Louis,abcstlouis.com,broadcast,"Sinclair Broadcast Group, Inc.",yes,active,75,no,collected
St. Charles County Business Record,St. Charles,,www.mlmcounties.com,print native,Johnny Aguirre,no,,0,yes,not local news
St. Charles County Journal,St. Charles,,,print native,Shannon Grindinger,no,,0,yes,not local news
Griffon News,St. Joseph,Buchanan,www.griffonnews.com,print native,Missouri Western State University,yes,active,1189,no,collected
KQTV,St. Joseph,Buchanan,kq2.com,video broadcast,News-Press & Gazette Co.,yes,active,1289,no,collected
News Press Now,St. Joseph,Buchanan,www.newspressnow.com,print native,News-Press & Gazette Co.,yes,active,6162,yes,collected
KFTK,St. Louis,St. Louis,www.audacy.com/971talk,audio broadcast,Audacy Inc,yes,retired,7,no,collected
KMOV CBS,St. Louis,St. Louis,www.firstalert4.com,video broadcast,Meredith Local Media,yes,active,3210,no,collected
KPLR11/Fox 2 Now,St. Louis,St. Louis,fox2now.com,video broadcast,Nexstar Media Group,yes,active,2470,no,collected
KSDK NBC,St. Louis,St. Louis,www.ksdk.com,video broadcast,Tegna Inc,yes,active,2085,no,collected
Missouri Lawyers,St. Louis,St. Louis,molawyersmedia.com,print native,BridgeTower Media,yes,active,470,yes,collected
Newstime,St. Louis,St. Louis,www.newstime-mo.com,print native,Lakeway Publishers,yes,retired,0,no,never collected
Radio Red Latina,St. Louis,St. Louis,www.redlatinastl.com,audio broadcast,Cecilia Velazquez,yes,active,413,no,collected
St. Louis American,St. Louis,St. Louis,stlamerican.com,print native,Donald M. Suggs,yes,active,144,yes,collected
St. Louis American,St. Louis,St. Louis,www.stlamerican.com,print native,Donald M. Suggs,yes,active,816,yes,collected
St. Louis Business Journal,St. Louis,St. Louis,www.bizjournals.com/stlouis,digital native,American City Business Journals,yes,active,122,yes,collected
St. Louis Call Newspapers,St. Louis,St. Louis,callnewspapers.com,print native,Bill Milligan,yes,active,471,yes,collected
St. Louis City Monitor,St. Louis,,,print native,John Wingo,no,,0,yes,not local news
St. Louis County Ledger,St. Louis,,,print native,John Wingo,no,,0,yes,unknown
St. Louis Daily Record,St. Louis,,www.mlmcounties.com,print native,Susan Bocomazo,no,,0,yes,not local news
St. Louis Jewish Light,St. Louis,St. Louis,stljewishlight.org,print native,Jewish Federation of St. Louis,yes,active,396,no,collected
St. Louis Labor Tribune,St. Louis,,www.labortribune.com,print native,Edward M. Finkelstein,no,,0,yes,not local news
St. Louis Post-Dispatch,St. Louis,St. Louis,www.stltoday.com,print native,Lee Enterprises,yes,active,2862,yes,collected
St. Louis Riverfront Times,St. Louis,St. Louis,www.riverfronttimes.com,print native,Euclid Media Group,yes,retired,17,no,collected
STL Public Radio,St. Louis,St. Louis,www.stlpr.org,audio broadcast,University of Missouri-St. Louis,yes,active,2166,no,collected
Student Life,St. Louis,St. Louis,www.studlife.com,print native,Washington University,yes,active,330,no,collected
The University News,St. Louis,St. Louis,unewsonline.com,print native,University of St. Louis,yes,active,185,no,collected
Pulaski County Mirror/Daily News,St. Robert,Pulaski,www.pulaskicountydaily.com,print native,Lebanon Publishing Co,yes,retired,0,no,never collected
Ste. Genevieve Herald,Ste. Genevieve,Ste. Genevieve,www.stegenherald.com,print native,Saint Genevieve Media LLC,yes,retired,81,yes,collected
Cedar County Republican and Stockton Journal,Stockton,Cedar,cedarrepublican.com,newspaper,Carpenter Media Group,yes,active,34,yes,collected
Sullivan Independent News,Sullivan,Franklin,www.mysullivannews.com,print native,Manion Kathleen,yes,retired,62,yes,collected
Summersville Beacon,Summersville,,www.sbeacon.com,print native,Sharon Vaughn,no,,0,yes,print or replica only
Sweet Springs Herald,Sweet Springs,,,print native,Kathryn Dohrman,no,,0,yes,unknown
South Missourian News,Thayer,Oregon,www.southmissouriannews.com,print native,CherryRoad Media,yes,active,390,yes,collected
Tipton Times,Tipton,Moniteau,www.tiptontimes.com,print native,Trevor Vernon,yes,active,0,yes,never collected
