signal,value,papers,of_those_in_our_data,our_owners,owners_disagree,newspapers,hosts
same editor,tim schmidt,3,3,CherryRoad Media | The Missourian Publishing Company,yes,ST. CHARLES COMMUNITY NEWS | ST. LOUIS COMMUNITY NEWS | WARREN COUNTY RECORD,www.mycnews.com | www.mycnews.com | www.warrencountyrecord.com
same email domain,darnews.com,3,3,Rust Communications,no,"STATESMAN, THE | PROSPECT-NEWS, THE | POPLAR BLUFF DAILY AMERICAN REPUBLIC",www.dexterstatesman.com | www.theprospectnews.com | www.darnews.com
same email domain,vernonpublishing.com,3,0,(none recorded),yes,ELDON ADVERTISER | HERMITAGE INDEX | TIPTON TIMES,www.hermitageindex.com | www.tiptontimes.com
same publisher,dennis warden,3,3,"Voss, Jerrilynn | Warden Publishing Group",yes,MARIES COUNTY ADVOCATE | LINN UNTERRIFIED DEMOCRAT | OWENSVILLE GASCONADE CO. REPUBLICAN,www.mariescountyadvocate.com | www.unterrifieddemocrat.com | www.gasconadecountyrepublican.com
same publisher,frank mercer,3,0,(none recorded),yes,GLASGOW MISSOURIAN | HIGGINSVILLE ADVANCE | LEXINGTON NEWS,www.mainstreetnewsgroup.com | www.mainstreetnewsgroup.com | www.mainstreetnewsgroup.com
same publisher,james white,3,3,Benton County Enterprise | Clinton Daily Democrat,yes,CLINTON DAILY DEMOCRAT | COLE CAMP COURIER | WINDSOR REVIEW,www.clintondailydemocrat.com | www.bentoncountyenterprise.com | www.clintondailydemocrat.com
same publisher,karen fioretti,3,2,Lancaster Management Inc. | Melton Publishing Inc,yes,BRANSON TRI-LAKES NEWS | BARRY COUNTY ADVERTISER | CRANE CHRONICLE/STONE COUNTY REPUBLICAN,www.bransontrilakesnews.com | www.4bcaonline.com | www.cc-scrnews.com
same publisher,paul e donley,3,1,RH Media Group,no,JASPER COUNTY CITIZEN | CARTHAGE CHRONICLE | SARCOXIE RECORD,www.carthagenewsonline.com
same publisher,peggy scott,3,3,Leader Publications Inc.,no,EUREKA LEADER | JEFFERSON COUNTY LEADER | WEST SIDE LEADER,www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com
same publisher,rob viehman,3,2,Tri-County Newspaper Inc,no,CUBA FREE PRESS | SAINT JAMES PRESS | STEELVILLE STAR-CRAWFORD MIRROR,www.cubafreepress.co.com | www.threeriverspublishing.com | www.threeriverspublishing.com
same telephone,4175483311,3,1,RH Media Group,no,JASPER COUNTY CITIZEN | CARTHAGE CHRONICLE | SARCOXIE RECORD,www.carthagenewsonline.com
same telephone,4176462211,3,0,(none recorded),yes,APPLETON CITY JOURNAL | OSCEOLA ST. CLAIR COUNTY COURIER | RICH HILL MINING REVIEW,www.stclaircourier.com | www.richhillminingreview.com
same telephone,6604386312,3,3,Benton County Enterprise,no,COLE CAMP COURIER | LINCOLN NEW ERA | BENTON COUNTY ENTERPRISE,www.bentoncountyenterprise.com | www.bentoncountyenterprise.com | www.bentoncountyenterprise.com
same website,bentoncountyenterprise.com,3,3,Benton County Enterprise,no,COLE CAMP COURIER | LINCOLN NEW ERA | BENTON COUNTY ENTERPRISE,www.bentoncountyenterprise.com | www.bentoncountyenterprise.com | www.bentoncountyenterprise.com
same website,mlmcounties.com,3,0,(none recorded),yes,KANSAS CITY DAILY RECORD | ST. CHARLES COUNTY BUSINESS RECORD | ST. LOUIS DAILY RECORD,www.mlmcounties.com | www.mlmcounties.com | www.mlmcounties.com
same address,1001 boardwalk springs pl ste 111 o fallon 63368,2,2,CherryRoad Media,no,ST. CHARLES COMMUNITY NEWS | ST. LOUIS COMMUNITY NEWS,www.mycnews.com | www.mycnews.com
same address,101 e main st east prairie 63845,2,0,(none recorded),yes,CHARLESTON ENTERPRISE-COURIER | EAST PRAIRIE EAGLE,www.enterprisecourier.com | www.enterprisecourier.com
same address,106 w main st bowling green 63334,2,2,CherryRoad Media,no,PIKE COUNTY NEWS | PIKE COUNTY NEWS,www.pikecountynews.com | www.pikecountynews.com
same address,107 e main st warsaw 63555,2,2,Benton County Enterprise,no,LINCOLN NEW ERA | BENTON COUNTY ENTERPRISE,www.bentoncountyenterprise.com | www.bentoncountyenterprise.com
same address,110 e vermont st king city 64463,2,0,(none recorded),yes,TRI-COUNTY LEDGER | TRI-COUNTY LEDGER,
same address,205 s new madrid sikeston 63801,2,2,Rust Communications,no,NEW MADRID WEEKLY RECORD | SIKESTON STANDARD-DEMOCRAT,www.standard-democrat.com | www.standard-democrat.com
same address,212 s washington st clinton 64735,2,2,Clinton Daily Democrat,no,CLINTON DAILY DEMOCRAT | WINDSOR REVIEW,www.clintondailydemocrat.com | www.clintondailydemocrat.com
same address,280 magee st troy 63379,2,1,CherryRoad Media,no,"ELSBERRY DEMOCRAT, THE | LINCOLN COUNTY JOURNAL",www.elsberrydemocrat.com | www.lincolnnewsnow.com
same editor,adam dean howe,2,2,Benton County Enterprise,no,LINCOLN NEW ERA | BENTON COUNTY ENTERPRISE,www.bentoncountyenterprise.com | www.bentoncountyenterprise.com
same editor,adam rhodes,2,0,(none recorded),yes,CHARLESTON ENTERPRISE-COURIER | EAST PRAIRIE EAGLE,www.enterprisecourier.com | www.enterprisecourier.com
same editor,aj fahr,2,1,Lancaster Management Inc.,no,BRANSON TRI-LAKES NEWS | CRANE CHRONICLE/STONE COUNTY REPUBLICAN,www.bransontrilakesnews.com | www.cc-scrnews.com
same editor,angie hutschreider,2,2,CherryRoad Media,no,LINN COUNTY LEADER | CONSTITUTION-TRIBUNE,www.linncountyleader.com | www.chillicothenews.com
same editor,catherine wynn,2,2,Carpenter Media Group | Salem Publishing,yes,PHELPS COUNTY FOCUS | THE SALEM NEWS,www.phelpscountyfocus.com | www.thesalemnewsonline.com
same editor,dave marner,2,2,Warden Publishing Group,no,MARIES COUNTY ADVOCATE | OWENSVILLE GASCONADE CO. REPUBLICAN,www.mariescountyadvocate.com | www.gasconadecountyrepublican.com
same editor,donna farley,2,2,Rust Communications,no,"STATESMAN, THE | POPLAR BLUFF DAILY AMERICAN REPUBLIC",www.dexterstatesman.com | www.darnews.com
same editor,kathryn dohrman,2,0,(none recorded),yes,"CONCORDIAN, THE | SWEET SPRINGS HERALD",
same editor,kimberly combs,2,2,Paxton Media Group LLC,no,REYNOLDS COUNTY COURIER | IRONTON MOUNTAIN ECHO,www.reynoldscountycourier.com | www.myironcountynews.com
same editor,matthew pearl,2,0,(none recorded),yes,TRI-COUNTY LEDGER | TRI-COUNTY LEDGER,
same editor,nicole cooke,2,2,CherryRoad Media | Phillips Media Group,yes,SEDALIA DEMOCRAT | WARRENSBURG DAILY STAR-JOURNAL,www.sedaliademocrat.com | www.warrensburgstarjournal.com
same editor,robin gregg,2,0,(none recorded),yes,RALLS CO HERALD-ENTERPRISE | MONROE COUNTY APPEAL,www.monroe-ralls.com | www.monroe-ralls.com
same editor,ryan squibb,2,2,Squibb Media,no,MOUNT VERNON LAWRENCE CO. RECORD | GREENE COUNTY COMMONWEALTH,www.lawrencecountyrecord.com | www.greenecountycommonwealth.com
same editor,sarah gray,2,2,CherryRoad Media,no,MARSHALL DEMOCRAT-NEWS | MOBERLY MONITOR-INDEX,www.marshallnews.com | www.moberlymonitor.com
same editor,skye pournazari,2,2,"Garner Media Holdings, LLE",no,GRANT CITY TIMES TRIBUNE | MARYVILLE FORUM,www.maryvilleforum.com | www.maryvilleforum.com
same email domain,centurylink.net,2,1,Long Kenny,no,CRANE CHRONICLE/STONE COUNTY REPUBLICAN | EL DORADO SPRINGS SUN,www.cc-scrnews.com | www.eldoradospringsmo.com
same email domain,cubafreepress.com,2,1,Tri-County Newspaper Inc,no,CUBA FREE PRESS | STEELVILLE STAR-CRAWFORD MIRROR,www.cubafreepress.co.com | www.threeriverspublishing.com
same email domain,embarqmail.com,2,1,McPherson Beth,no,LEXINGTON NEWS | WESTON CHRONICLE,www.mainstreetnewsgroup.com | www.plattechronicle.com
same email domain,enterprisecourier.com,2,0,(none recorded),yes,CHARLESTON ENTERPRISE-COURIER | EAST PRAIRIE EAGLE,www.enterprisecourier.com | www.enterprisecourier.com
same email domain,lawrencecountyrecord.com,2,2,Squibb Media,no,MOUNT VERNON LAWRENCE CO. RECORD | GREENE COUNTY COMMONWEALTH,www.lawrencecountyrecord.com | www.greenecountycommonwealth.com
same email domain,leaderpress.com,2,2,Excelsior Publishing co.,no,EXCELSIOR SPRINGS STANDARD | RICHMOND NEWS,www.excelsiorspringsstandard.com | www.richmond-dailynews.com
same email domain,maryvilleforum.com,2,2,"Garner Media Holdings, LLE",no,GRANT CITY TIMES TRIBUNE | MARYVILLE FORUM,www.maryvilleforum.com | www.maryvilleforum.com
same email domain,monroecountyappeal.com,2,0,(none recorded),yes,RALLS CO HERALD-ENTERPRISE | MONROE COUNTY APPEAL,www.monroe-ralls.com | www.monroe-ralls.com
same email domain,mycnews.com,2,2,CherryRoad Media,no,ST. CHARLES COMMUNITY NEWS | ST. LOUIS COMMUNITY NEWS,www.mycnews.com | www.mycnews.com
same email domain,pikecountynews.com,2,2,CherryRoad Media,no,PIKE COUNTY NEWS | VANDALIA LEADER,www.pikecountynews.com | www.vandalialeader.com
same email domain,pulselegal.com,2,0,(none recorded),yes,KANSAS CITY THE PULSE LEGAL PUBLICATION | ST. CHARLES COUNTY JOURNAL,www.pulselegal.com
same email domain,standard-democrat.com,2,2,Rust Communications,no,NEW MADRID WEEKLY RECORD | SIKESTON STANDARD-DEMOCRAT,www.standard-democrat.com | www.standard-democrat.com
same email domain,wardpub.com,2,2,Warden Publishing Group,no,MARIES COUNTY ADVOCATE | OWENSVILLE GASCONADE CO. REPUBLICAN,www.mariescountyadvocate.com | www.gasconadecountyrepublican.com
same publisher,ann blunt,2,2,Carpenter Media Group | Phillips Media Group,yes,HANNIBAL COURIER-POST | KIRKSVILLE DAILY EXPRESS & NEWS,www.hannibal.net | www.kirksvilledailyexpress.com
same publisher,carlin bennett,2,0,(none recorded),yes,CHARLESTON ENTERPRISE-COURIER | EAST PRAIRIE EAGLE,www.enterprisecourier.com | www.enterprisecourier.com
same publisher,catherine wynn,2,2,Carpenter Media Group | Salem Publishing,yes,PHELPS COUNTY FOCUS | THE SALEM NEWS,www.phelpscountyfocus.com | www.thesalemnewsonline.com
same publisher,deanna nelson,2,2,Rust Communications,no,NEW MADRID WEEKLY RECORD | SIKESTON STANDARD-DEMOCRAT,www.standard-democrat.com | www.standard-democrat.com
same publisher,gary castor,2,2,"Faughn Media, LLC",no,CALIFORNIA DEMOCRAT | FULTON SUN,www.californiademocrat.com | www.fultonsun.com
same publisher,jamey d anna honeycutt,2,0,(none recorded),yes,"CLINTON COUNTY LEADER, PLATTSBURG | TRENTON REPUBLICAN-TIMES",www.clintoncountyleader.com | www.republican-times.com
same publisher,jamila khalil,2,2,CherryRoad Media | Phillips Media Group,yes,SEDALIA DEMOCRAT | WARRENSBURG DAILY STAR-JOURNAL,www.sedaliademocrat.com | www.warrensburgstarjournal.com
same publisher,jimmy sexton,2,2,Sexton Media Group Inc.,no,"AURORA ADVERTISER, THE | NEOSHO DAILY NEWS",www.auroraadvertiser.net | www.neoshodailynews.com
same publisher,john joe spaar,2,0,(none recorded),yes,FOCUS ON OAK GROVE | ODESSA ODESSAN,www.theodessan.net | www.theodessan.net
same publisher,john wingo,2,0,(none recorded),yes,ST. LOUIS CITY MONITOR | ST. LOUIS COUNTY LEDGER,
same publisher,kathryn dohrman,2,0,(none recorded),yes,"CONCORDIAN, THE | SWEET SPRINGS HERALD",
same publisher,ken garner,2,2,"Garner Media Holdings, LLE",no,GRANT CITY TIMES TRIBUNE | MARYVILLE FORUM,www.maryvilleforum.com | www.maryvilleforum.com
same publisher,matthew pearl,2,0,(none recorded),yes,TRI-COUNTY LEDGER | TRI-COUNTY LEDGER,
same publisher,mike scott,2,2,Cheffey Mark & Patty | Williams Communications Group Inc.,yes,PALMYRA SPECTATOR | SHELBY COUNTY HERALD,www.palmyra-spectator.com | www.shelbycountyherald.com
same publisher,robin gregg,2,0,(none recorded),yes,RALLS CO HERALD-ENTERPRISE | MONROE COUNTY APPEAL,www.monroe-ralls.com | www.monroe-ralls.com
same publisher,ryan squibb,2,2,Squibb Media,no,MOUNT VERNON LAWRENCE CO. RECORD | GREENE COUNTY COMMONWEALTH,www.lawrencecountyrecord.com | www.greenecountycommonwealth.com
same publisher,shannon grindinger,2,0,(none recorded),yes,JEFFERSON COUNTY REPORTER | ST. CHARLES COUNTY JOURNAL,
same telephone,3144211880,2,1,BridgeTower Media,no,ST. LOUIS DAILY RECORD | ST. LOUIS MISSOURI LAWYERS WEEKLY,www.mlmcounties.com | www.molawyersmedia.com
same telephone,4174511520,2,2,Sexton Media Group Inc.,no,"AURORA ADVERTISER, THE | NEOSHO DAILY NEWS",www.auroraadvertiser.net | www.neoshodailynews.com
same telephone,4174662185,2,2,Squibb Media,no,MOUNT VERNON LAWRENCE CO. RECORD | GREENE COUNTY COMMONWEALTH,www.lawrencecountyrecord.com | www.greenecountycommonwealth.com
same telephone,5733242222,2,2,CherryRoad Media,no,PIKE COUNTY NEWS | PIKE COUNTY NEWS,www.pikecountynews.com | www.pikecountynews.com
same telephone,5734372323,2,2,Warden Publishing Group,no,MARIES COUNTY ADVOCATE | OWENSVILLE GASCONADE CO. REPUBLICAN,www.mariescountyadvocate.com | www.gasconadecountyrepublican.com
same telephone,5734711137,2,2,Rust Communications,no,NEW MADRID WEEKLY RECORD | SIKESTON STANDARD-DEMOCRAT,www.standard-democrat.com | www.standard-democrat.com
same telephone,5736499500,2,0,(none recorded),yes,CHARLESTON ENTERPRISE-COURIER | EAST PRAIRIE EAGLE,www.enterprisecourier.com | www.enterprisecourier.com
same telephone,6363791775,2,2,CherryRoad Media,no,ST. CHARLES COMMUNITY NEWS | ST. LOUIS COMMUNITY NEWS,www.mycnews.com | www.mycnews.com
same telephone,6365289550,2,0,(none recorded),yes,LINCOLN COUNTY JOURNAL | TROY FREE PRESS,www.lincolnnewsnow.com | www.lincolnnewsnow.com
same telephone,6605354313,2,0,(none recorded),yes,TRI-COUNTY LEDGER | TRI-COUNTY LEDGER,
same telephone,6605622424,2,2,"Garner Media Holdings, LLE",no,GRANT CITY TIMES TRIBUNE | MARYVILLE FORUM,www.maryvilleforum.com | www.maryvilleforum.com
same telephone,6608852281,2,2,Clinton Daily Democrat,no,CLINTON DAILY DEMOCRAT | WINDSOR REVIEW,www.clintondailydemocrat.com | www.clintondailydemocrat.com
same website,clintondailydemocrat.com,2,2,Clinton Daily Democrat,no,CLINTON DAILY DEMOCRAT | WINDSOR REVIEW,www.clintondailydemocrat.com | www.clintondailydemocrat.com
same website,enterprisecourier.com,2,0,(none recorded),yes,CHARLESTON ENTERPRISE-COURIER | EAST PRAIRIE EAGLE,www.enterprisecourier.com | www.enterprisecourier.com
same website,lincolnnewsnow.com,2,0,(none recorded),yes,LINCOLN COUNTY JOURNAL | TROY FREE PRESS,www.lincolnnewsnow.com | www.lincolnnewsnow.com
same website,maryvilleforum.com,2,2,"Garner Media Holdings, LLE",no,GRANT CITY TIMES TRIBUNE | MARYVILLE FORUM,www.maryvilleforum.com | www.maryvilleforum.com
same website,molawyersmedia.com,2,2,BridgeTower Media,no,"COUNTIAN ST. LOUIS, THE | ST. LOUIS MISSOURI LAWYERS WEEKLY",www.molawyersmedia.com | www.molawyersmedia.com
same website,monroe-ralls.com,2,0,(none recorded),yes,RALLS CO HERALD-ENTERPRISE | MONROE COUNTY APPEAL,www.monroe-ralls.com | www.monroe-ralls.com
same website,mycnews.com,2,2,CherryRoad Media,no,ST. CHARLES COMMUNITY NEWS | ST. LOUIS COMMUNITY NEWS,www.mycnews.com | www.mycnews.com
same website,pikecountynews.com,2,2,CherryRoad Media,no,PIKE COUNTY NEWS | PIKE COUNTY NEWS,www.pikecountynews.com | www.pikecountynews.com
same website,standard-democrat.com,2,2,Rust Communications,no,NEW MADRID WEEKLY RECORD | SIKESTON STANDARD-DEMOCRAT,www.standard-democrat.com | www.standard-democrat.com
same website,theodessan.net,2,0,(none recorded),yes,FOCUS ON OAK GROVE | ODESSA ODESSAN,www.theodessan.net | www.theodessan.net
same website,threeriverspublishing.com,2,2,Tri-County Newspaper Inc,no,SAINT JAMES PRESS | STEELVILLE STAR-CRAWFORD MIRROR,www.threeriverspublishing.com | www.threeriverspublishing.com
