name,city,cities,host,url,address,telephone,fax,editorial_email,publisher,editor,other_roles,schedule,affiliation
"COUNTIAN ST. LOUIS, THE",Clayton,Clayton,www.molawyersmedia.com,www.molawyersmedia.com,"7777 Bonhomme Ave., Ste. 1205, St. Louis 63105",(314) 727-6011,,edit@molawyersmedia.com,Liz Irwin,Rick Jackoway,,Daily,NP
CLINTON DAILY DEMOCRAT,Clinton,Clinton,www.clintondailydemocrat.com,www.clintondailydemocrat.com,"212 S. Washington St., PO Box 586, Clinton 64735",(660) 885-2281,,clintondailydemocrat@gmail.com,James White,Adam Howe,,Thurs.,Rep
COLE CAMP COURIER,Cole Camp,Cole Camp,www.bentoncountyenterprise.com,www.bentoncountyenterprise.com,"107 E. Main St., PO Box 128, Warsaw 65355",(660) 438-6312,,bentoncountyenterprise@yahoo.com,James White,Adam Howe,,Fri.,Rep
COLUMBIA DAILY TRIBUNE,Columbia,Columbia,www.columbiatribune.com,www.columbiatribune.com,"101 N. Fourth St., PO Box 798, Columbia 65205",(888) 348-3315,,editor@columbiatribune.com,,Stephen Herzog,Managing Editor: Stephen Herzog,Daily,Ind
COLUMBIA MISSOURIAN,Columbia,Columbia,www.columbiamissourian.com,www.columbiamissourian.com,"221 S. Eighth St., PO Box 917, Columbia 65205",(573) 882-5714,,news@columbiamissourian.com,David Kurpius,Elizabeth Stevens,,Tues.-Fri. & Sun.,Ind
"CONCORDIAN, THE",Concordia,Concordia,,,"607 S. Main St., Ste. B, PO Box 658, Concordia 64020",(660) 463-7522,,concordianpaper@gmail.com,Kathryn Dohrman,Kathryn Dohrman,,Wed.,Rep
CRANE CHRONICLE/STONE COUNTY REPUBLICAN,Crane,Crane,www.cc-scrnews.com,www.cc-scrnews.com,"114 Main St., PO Box 401, Crane 65633",(417) 723-5248,,screditor@centurylink.net,Karen Fioretti,AJ Fahr,,Thurs.,Rep
CUBA FREE PRESS,Cuba,Cuba,www.cubafreepress.co.com,www.cubafreepress.co.com,"501 E. Washington, PO Box 568, Cuba 65453",(573) 885-7460,,news@cubafreepress.com,Rob Viehman,Rob Viehman,,Thurs.,Dem
"STATESMAN, THE",Dexter,Dexter,www.dexterstatesman.com,www.dexterstatesman.com,"133 S. Walnut St., PO Box 579, Dexter 63841",(573) 624-4545,,dfarley@darnews.com,Chris Pruett,Donna Farley,,Wed.,Rep
DIXON PILOT,Dixon,Dixon,www.dixonpilot.com,www.dixonpilot.com,"302 S. Locust St., PO Drawer V, Dixon 65459",(573) 759-2127,,dixonpilotnews@yahoo.com,Connie Erisman,Connie Erisman,,Wed.,Rep
"PROSPECT-NEWS, THE",Doniphan,Doniphan,www.theprospectnews.com,www.theprospectnews.com,"110 Washington St., PO Box 367, Doniphan 63935",(573) 996-2103,,cpruett@darnews.com,Chris Pruett,,,Wed.,Rep
EAST PRAIRIE EAGLE,East Prairie,East Prairie,www.enterprisecourier.com,www.enterprisecourier.com,"101 E. Main St., East Prairie 63845",(573) 649-9500,,news@enterprisecourier.com,Carlin Bennett,Adam Rhodes,,Tues.,Rep
"EDINA SENTINEL, THE",Edina,Edina,www.edinasentinel.com,www.edinasentinel.com,"207 N. Main, PO Box 270, Edina 63537",(660) 397-2226,,editor@edinasentinel.com,Mike & Sue Scott,Echo Menges,,Wed.,Rep
EL DORADO SPRINGS SUN,El Dorado Springs,El Dorado Springs,www.eldoradospringsmo.com,www.eldoradospringsmo.com,"125 N. Main St., PO Box 71, El Dorado Springs 64744",(417) 876-3841,,kwlong@centurylink.net,Kimball Long,Kenny Long,,Thurs.,Rep
"STAR, THE",El Dorado Springs,El Dorado Springs,,,"105 S. Main St., PO Box 269, El Dorado Springs 64744",(417) 876-2500,,thestar@socket.net,James Belk,James Belk,,Thurs.,Rep
ELDON ADVERTISER,Eldon,Eldon,,,"eldonadvertiser.com, 415 S. Maple St., PO Box 315, Eldon 65026",(573) 392-5658,,tflora@vernonpublishing.com,Trevor Vernon,Tim Flora,,Thurs.,Rep
REYNOLDS COUNTY COURIER,Ellington,Ellington,www.reynoldscountycourier.com,www.reynoldscountycourier.com,"370 Main St., PO Box 130, Ellington 63638",(573) 223-7122,,news@waynecojournalbanner.com,Scott Hoskins,Kimberly Combs,General Manager/Editor: Kimberly Combs,Wed.,Rep
"ELSBERRY DEMOCRAT, THE",Elsberry,Elsberry,www.elsberrydemocrat.com,www.elsberrydemocrat.com,"280 Magee St., Troy 63379",(573) 898-2318,,gregorear@cherryroad.com,Jeremy Gulban,Gregory Orear,,Wed.,Rep
SHANNON COUNTY CURRENT WAVE,Eminence,Eminence,www.currentwave.news,www.currentwave.news,"102 Plum St., PO Box 728, Eminence 65466",(573) 226-5229,,cwave128@gmail.com,Roger Dillon,Roger Dillon,,Wed.,Dem
EUREKA LEADER,Eureka,Eureka,www.myleaderpaper.com,www.myleaderpaper.com,"503 N. Second St., PO Box 159, Festus 63028",(636) 937-7501,,news@leaderpublications.biz,Peggy Scott,Kim Robertson,,Thurs.,NP
EXCELSIOR SPRINGS STANDARD,Excelsior Springs,Excelsior Springs,www.excelsiorspringsstandard.com,www.excelsiorspringsstandard.com,"118 Spring St., Ste. B, PO Box 70, Excelsior Springs 64024",(816) 637-6155,,news@leaderpress.com,,,General Manager: Sharon Donat,Fri.,NP
FAYETTE ADVERTISER,Fayette,Fayette,www.fayettenewspapers.com,www.fayettenewspapers.com,"203 N. Main St., PO Box 32, Fayette 65248",(660) 248-2235,,news@fayettenews.com,Justin Addison,Justin Addison,,Wed.,Ind
JEFFERSON COUNTY LEADER,Festus,Festus,www.myleaderpaper.com,www.myleaderpaper.com,"503 N. Second St., PO Box 159, Festus 63028",(636) 937-7501,,news@leaderpublications.biz,Peggy Scott,Kim Robertson,,Thurs.,NP
WEST SIDE LEADER,Festus,Festus,www.myleaderpaper.com,www.myleaderpaper.com,"503 N. Second St., PO Box 159, Festus 63028",(636) 937-7501,,news@leaderpublications.biz,Peggy Scott,Kim Robertson,,Thurs.,NP
FREDERICKTOWN DEMOCRAT-NEWS,Fredericktown,Fredericktown,www.democratnewsonline.com,www.democratnewsonline.com,"131 S. Main St., PO Box 471, Fredericktown 63645",(573) 783-3366,,dn@democratnewsonline.com,Scott Hoskins,Alan Kopitsky,,Wed.,NP
FULTON SUN,Fulton,Fulton,www.fultonsun.com,www.fultonsun.com,"115 E. Fifth St., PO Box 420, Fulton 65251",(573) 642-7272,,editor@fultonsun.com,Gary Castor,Emily O’Leary,,Sat.,NP
GAINESVILLE OZARK COUNTY TIMES,Gainesville,Gainesville,www.ozarkcountytimes.com,www.ozarkcountytimes.com,"504 Third St., PO Box 188, Gainesville 65655",(417) 679-4641,(417) 679-3423,jessi@ozarkcountytimes.com,Jenny Yarger,Jessi Dreckman,,Wed.,Rep
GLASGOW MISSOURIAN,Glasgow,Glasgow,www.mainstreetnewsgroup.com,www.mainstreetnewsgroup.com/theglasgowmissourian,"109 Market St., Glasgow 65254",(660) 338-2195,,glasgow@mcmsys.com,Frank Mercer,Mike Heying,,Fri.,Dem
GRANT CITY TIMES TRIBUNE,Grant City,Grant City,www.maryvilleforum.com,www.maryvilleforum.com,"1 E. Third St., PO Box 130, Grant City 64456",(660) 562-2424,,skyep@maryvilleforum.com,Ken Garner,Skye Pournazari,,Fri.,Rep
GREENFIELD VEDETTE,Greenfield,Greenfield,www.greenfieldvedette.com,www.greenfieldvedette.com,"7 N. Main, PO Box 216, Greenfield 65661",(417) 637-2712,,krista@greenfieldvedette.com,,Krista Guy,General Manager: Krista Guy,Thurs.,Ind
HALE HORIZONS,Hale,Hale,,,"29236 Hwy. J, PO Box 36, Hale 64643",(660) 565-2555,,halehorizons@yahoo.com,Cindy Corf,Robert Corf,,Wed.,Rep
CALDWELL COUNTY NEWS,Hamilton,Hamilton,www.mycaldwellcounty.com,www.mycaldwellcounty.com,"101 S. Davis, PO Box 218, Hamilton 64644",(816) 583-2116,,news@mycaldwellcounty.com,Harold Henry Jr.,Deb Rankin,,Tues.,Rep
HANNIBAL COURIER-POST,Hannibal,Hannibal,www.hannibal.net,www.hannibal.net,"130 S. Fifth St., Quincy, IL 62301",(573) 221-2800,,newsroom@courierpost.com,Ann Blunt,,Executive Editor: Matthew Hopf,Tues.-Sat.,NP
TRIBUNE AND TIMES,Harrisonville,Harrisonville,www.tribuneandtimes.com,www.tribuneandtimes.com,"305 W. Wall St. #C, PO Box 275, Harrisonville 64701",(816) 793-0540,,news@tribuneandtimes.com,Dennis Minich,James Gillespie,,Thurs.,Dem
HERMANN ADVERTISER-COURIER,Hermann,Hermann,www.hermannadvertisercourier.com,www.hermannadvertisercourier.com,"136 E. Fourth St., PO Box 350, Hermann 65041",(573) 486-5418,,acarosella@cherryroad.com,Jeremy Gulban,Anthony Carosella,,Wed.,Rep
HERMITAGE INDEX,Hermitage,Hermitage,www.hermitageindex.com,www.hermitageindex.com,"23638 Polk St., PO Box 127, Hermitage 65668",(417) 745-6404,,theindex1885@vernonpublishing.com,Trevor Vernon,,,Wed.,Rep
HIGGINSVILLE ADVANCE,Higginsville,Higginsville,www.mainstreetnewsgroup.com,www.mainstreetnewsgroup.com/higginsvilleadvance/,"3002 Hwy. 13, PO Box 422, Higginsville 64037",(660) 584-3611,,bookeradvancenews@gmail.com,Frank Mercer,Doug Booker,,Wed.,Dem
"COUNTIAN JEFFERSON, THE",Hillsboro,Hillsboro,,,"mlmcounties.com/news/jefferson-county, 10626 Hwy. 21, Ste. B, Hillsboro 63050",(636) 789-5853,,jyount@molawyersmedia.com,Johnny Aguirre,Jordan Yount,,Fri.,NP
JEFFERSON COUNTY REPORTER,Hillsboro,Hillsboro,,,"284 Main St., Hillsboro 63050",(816) 221-2552,,,Shannon Grindinger,Pamela Wingo,,Fri.,NP
HOLDEN IMAGE,Holden,Holden,www.hipaperclips.com,www.hipaperclips.com,"117 E. Second St., Holden 64040",(816) 732-5552,,holdenimagenews@gmail.com,John Roberts,John Roberts,,Thurs.,Rep
HOUSTON HERALD,Houston,Houston,www.houstonherald.com,www.houstonherald.com,"113 N. Grand Ave., PO Box 170, Houston 65483",(417) 967-2000,,news@houstonherald.com,Isaiah Buse,Isaiah Buse,,Thurs.,Dem
INDEPENDENCE EXAMINER,Independence,Independence,www.examiner.net,www.examiner.net,"12012 E. US 40, Independence 64055",(816) 648-1611,,jfox@cherryroad.com,Jeremy Gulban,Jeff Fox,,Tues.-Sat.,NP
IRONTON MOUNTAIN ECHO,Ironton,Ironton,www.myironcountynews.com,www.myironcountynews.com,"110 N. Main St., Ironton 63650",(573) 546-3917,,news@myironcountynews.com,Scott Hoskins,Kimberly Combs,General Manager/Editor: Kimberly Combs,Wed.,Rep
"CASH-BOOK JOURNAL, THE",Jackson,Jackson,www.thecash-book.com,www.thecash-book.com,"210 W. Main, PO Box 369, Jackson 63755",(583) 243-3515,,cashbook@mvp.net,Gina Raffety,Jay Forness,,Wed.,Dem
JAMESPORT TRI-COUNTY WEEKLY,Jamesport,Jamesport,www.jamesporttricountyweekly.com,www.jamesporttricountyweekly.com,"103 S. Broadway, PO Box 137, Jamesport 64648",(660) 684-6718,,tcw@grm.net,Natha McAllister,Natha McAllister,,Thurs.,Rep
JEFFERSON CITY NEWS TRIBUNE,Jefferson City,Jefferson City,www.newstribune.com,www.newstribune.com,"320 E. Capitol Ave., PO Box 420, Jefferson City 65101",(573) 636-3131,,gcastor@newstribune.com,,Gary Castor,General Manager: Gary Castor,Daily,NP
MISSOURI INDEPENDENT,Jefferson City,Jefferson City,www.missouriindependent.com,www.missouriindependent.com,"P.O. Box 2255, Jefferson City 65101",(573) 340-5153 or (573) 382-6583,,rkeller@missouriindependent.com,Jason Hancock,Rudy Keller,,,
JOPLIN GLOBE,Joplin,Joplin,www.joplinglobe.com,www.joplinglobe.com,"117 E. Fourth St., PO Box 7, Joplin 64802",(417) 623-3480,,news@joplinglobe.com,Katherine Miller,Andy Ostmeyer,,Daily,NP
KAHOKA HOMETOWN JOURNAL,Kahoka,Kahoka,www.htjournal.net,www.htjournal.net,"258 W. Main St., Kahoka 63445",(660) 727-3383,,htjournal91@gmail.com,Joe & Lisa Roberts,Joe Roberts,,Tues.,Dem
THE MEDIA,Kahoka,Kahoka,www.kahokamedia.com,www.kahokamedia.com,"178 W. Main St., PO Box 230, Kahoka 63445",(660) 727-3395,,mike@kahokamedia.com,Mike & Sue Scott,Mike Scott,,Wed.,Rep
KANSAS CITY BEACON,Kansas City,Kansas City,www.kcbeacon.org,www.kcbeacon.org,"300 E. 39th St., Kansas City 64111",(816) 514-6071,,scott@thebeacon.media,,Scott Canon,,,
DELTA DUNKLIN DEMOCRAT,Kennett,Kennett,www.dddnews.com,www.dddnews.com,"203 First St., PO Box 669, Kennett 63857",(573) 888-4505,,jdorris@dddnews.com,Chris Pruett,Jeff Dorris,General Manager/Editor: Jeff Dorris,"Tues., Thurs. & Sat.",NP
TRI-COUNTY LEDGER,King City,King City; Albany,,,"110 E. Vermont St., PO Box 498, King City 64463",(660) 535-4313,,news@tricountynews.net,Matthew Pearl,Matthew Pearl,,Fri.,Rep
KIRKSVILLE DAILY EXPRESS & NEWS,Kirksville,Kirksville,www.kirksvilledailyexpress.com,www.kirksvilledailyexpress.com,"110 E. McPherson, PO Box 809, Kirksville 63501",(660) 665-2808,,news@kirksvilledailyexpress.com,Ann Blunt,Martin Bachman,,Wed.,NP
LAMAR DEMOCRAT,Lamar,Lamar,www.lamardemocrat.com,www.lamardemocrat.com,"100 E. 11th St., PO Box 12, Lamar 64759",(417) 417-6397,,info@lamardemocrat.com,Melody Metzger,Melody Metzger,,Wed.,NP
LAWSON REVIEW,Lawson,Lawson,www.facebook.com,www.facebook.com/lawsonreview1979,"405 N. Pennsylvania Ave., PO Box 125, Lawson 64062",(816) 296-3412,,lawsonreview@gmail.com,Anita Duncan,Anita Duncan,,Wed.,Rep
LACLEDE COUNTY RECORD,Lebanon,Lebanon,www.laclederecord.com,www.laclederecord.com,"100 E. Commercial, PO Box 192, Lebanon 65536",(417) 532-9131,,editor@laclederecord.com,Jennifer Early,Steve Smith,,Wed. & Sat.,Rep
LEE’S SUMMIT TRIBUNE,Lee’s Summit,Lee’s Summit,www.lstribune.net,www.lstribune.net,"219 SE Douglas, Lee’s Summit 64063",(816) 524-0061,,editor.lstribune08@gmail.com,Linda Ahern,Linda Ahern,,Sat.,Rep
LEXINGTON NEWS,Lexington,Lexington,www.mainstreetnewsgroup.com,www.mainstreetnewsgroup.com/thelexingtonnews,"1009 Franklin Ave., PO Box 279, Lexington 64067",(660) 259-2266,,lexingtonnews@embarqmail.com,Frank Mercer,Joe Parmon,,Wed.,Dem
COURIER TRIBUNE/GLADSTONE DISPATCH,Liberty,Liberty; Kearney; Smithville,,,"mycouriertribune.com, 104 N. Main St., Liberty 64068",(816) 781-4941,,news@mycouriertribune.com,Jeremy Gulban,Amanda Lubinski,,Thurs.,Rep
LICKING NEWS,Licking,Licking,www.thelickingnews.net,www.thelickingnews.net,"115 S. Main St., PO Box 297, Licking 65542",(573) 674-2412,,shari@thelickingnews.net,Shari Harris,Christy Porter,,Thurs.,Rep
LINCOLN NEW ERA,Lincoln,Lincoln,www.bentoncountyenterprise.com,www.bentoncountyenterprise.com,"107 E. Main St., PO Box 128 Warsaw 63555",(660) 438-6312,,bentoncountyenterprise@yahoo.com,James M. White,Adam Dean Howe,,Thurs.,Rep
LINN UNTERRIFIED DEMOCRAT,Linn,Linn,www.unterrifieddemocrat.com,www.unterrifieddemocrat.com,"300 E. Main St., PO Box 109, Linn 65051",(573) 897-3150,,udnewslinn@gmail.com,Dennis Warden,Neal Johnson,,Wed.,Rep
PIKE COUNTY NEWS,Louisiana,Louisiana,www.pikecountynews.com,www.pikecountynews.com,"106 W. Main St., PO Box 110, Bowling Green 63334",(573) 324-2222,,sschwartz@cherryroad.com,Jeremy Gulban,Stan Schwartz,,Wed.,Rep
MACON COUNTY HOME PRESS & JOURNAL,Macon,Macon,www.maconhomepress.com,www.maconhomepress.com,"515 S Rubey, PO Box 303, Macon 63552",(660) 346-7046,,news@maconhomepress.com,Sharon Coram,Sharon Coram,,Wed.,NP
MARBLE HILL BANNER PRESS,Marble Hill,Marble Hill,www.thebannerpress.com,www.thebannerpress.com,"PO Box 699, Cape Girardeau 63764",(573) 388-2766,,news@thebannerpress.com,Jon Rust,Mary Layton,,Wed.,NP
MARSHALL DEMOCRAT-NEWS,Marshall,Marshall,www.marshallnews.com,www.marshallnews.com,"28 N. Jefferson Ave., PO Box 100, Marshall 65340",(660) 886-2233,,sgray@cherryroad.com,,Sarah Gray,General Manager: Sarah Gray,Wed. & Fri.,Ind
MARSHFIELD MAIL,Marshfield,Marshfield,www.marshfieldmail.com,www.marshfieldmail.com,"225 N. Clay, PO Box A, Marshfield 65706",(417) 468-2013,,news@marshfieldmail.com,Deanna Moore,Shelby Atkison,,Wed.,Rep
MARYVILLE FORUM,Maryville,Maryville,www.maryvilleforum.com,www.maryvilleforum.com,"111 E. Jenkins, PO Box 188, Maryville 64468",(660) 562-2424,,skyep@maryvilleforum.com,Ken Garner,Skye Pournazari,,Thurs.,Rep
"NODAWAY NEWS LEADER, MARYVILLE",Maryville,Maryville,www.nodawaynews.com,www.nodawaynews.com,"116 E. Third, PO Box 373, Maryville 64468",(660) 562-4747,,nnl@nodawaynews.com,Kay Wilson,Kay Wilson,,Thurs.,Rep
DEKALB CO. RECORD-HERALD,Maysville,Maysville,,,"508 S. Polk St., PO Box 98, Maysville 64469",(816) 449-2121,,pearlterry@gmail.com,Terry Pearl,Chrissy Stefano,,,
MEMPHIS DEMOCRAT,Memphis,Memphis,www.memphisdemocrat.com,www.memphisdemocrat.com,"121 S. Main St., Memphis 63555",(660) 465-7016,,news@memphisdemocrat.com,Mike & Sue Scott,Mike Scott,,Thurs.,Rep
MEXICO LEDGER,Mexico,Mexico,www.mexicoledger.com,www.mexicoledger.com,"222 S. Jefferson, Stes. 201 & 202, Mexico 65265",(573) 581-1111,,news@mexicoledger.com,Tim Schmidt,,GM/Editor: Don Munsch,Wed.,Rep
MILAN STANDARD,Milan,Milan,www.themilanstandard.com,www.themilanstandard.com,"218 N. Clark St, PO Box 276, Milan 63556",(660) 265-4244,,milanstandard1@gmail.com,Mike & Sue Scott,Mike Scott,,Thurs.,Rep
MOBERLY MONITOR-INDEX,Moberly,Moberly,www.moberlymonitor.com,www.moberlymonitor.com,"218 N. Clark St., PO Box 697, Moberly 65270",(660) 263-4123,,editor@moberlymonitor.com,Jeremy Gulban,Sarah Gray,,Fri.,Rep
MONROE CITY LAKE GAZETTE,Monroe City,Monroe City,www.lakegazette.net,www.lakegazette.net,"304 S. Main St., PO Box 187, Monroe City 63456",(573) 735-3300,(573) 735-3261,cgottman@cherryroad.com,Jeremy Gulban,Consetta Gottman,,Fri.,Rep
MONTGOMERY STANDARD,Montgomery City,Montgomery City,www.mystandardnews.com,www.mystandardnews.com,"115 W. Third St., PO Box 190, Montgomery City 63361",(573) 564-2339,,theo@mystandardnews.com,Tim Schmidt,Theo Tate,,Wed.,Rep
MOUND CITY NEWS,Mound City,Mound City,www.moundcitynews.com,www.moundcitynews.com,"18121 Hwy. 59, PO Box 175, Mound City 64470",(660) 442-5423,,moundcitynews@socket.net,Adam Johnson,Dennis Sharkey,,Thurs.,Dem
MOUNT VERNON LAWRENCE CO. RECORD,Mount Vernon,Mount Vernon,www.lawrencecountyrecord.com,www.lawrencecountyrecord.com,"312 S. Hickory St., PO Box 348, Mt. Vernon 65712, Mountain Grove / Mansfield",(417) 466-2185,,thepaper@lawrencecountyrecord.com,Ryan Squibb,Ryan Squibb,,Wed.,Rep
WRIGHT COUNTY JOURNAL,Mount Vernon,Mount Vernon,www.wrightcountyjournal.com,www.wrightcountyjournal.com,"150 E. First St., PO Box 530, Mountain Grove 65711",(417) 926-5148,,editor@wrightcountyjournal.com,Ron Schott,Ron Schott,,Wed.,Rep
